municipality,low,medium,high
's-Gravenhage,130220.0,147330.0,156120.0
's-Hertogenbosch,31180.0,43830.0,46890.0
Aa en Hunze,4580.0,8560.0,5950.0
Aalsmeer,6580.0,10180.0,7610.0
Aalten,5720.0,9720.0,4760.0
Achtkarspelen,6830.0,10500.0,3480.0
Alblasserdam,4460.0,6810.0,3180.0
Albrandswaard,4610.0,8530.0,6540.0
Alkmaar,21470.0,35650.0,27500.0
Almelo,18110.0,24580.0,13080.0
Almere,45430.0,75570.0,50130.0
Alphen aan den Rijn,21820.0,38820.0,25070.0
Alphen-Chaam,1640.0,3510.0,2670.0
Ameland,710.0,1510.0,660.0
Amersfoort,26450.0,44370.0,50840.0
Amstelveen,14250.0,21800.0,32780.0
Amsterdam,159020.0,216730.0,349370.0
Apeldoorn,33970.0,53430.0,37370.0
Arnhem,33080.0,48820.0,47630.0
Assen,12730.0,24430.0,14970.0
Asten,3860.0,5740.0,3350.0
Baarle-Nassau,2080.0,2090.0,980.0
Baarn,4330.0,6750.0,6910.0
Barendrecht,8850.0,15950.0,11540.0
Barneveld,12890.0,20330.0,10020.0
Beek,3130.0,5120.0,3640.0
Beesel,3400.0,4570.0,2180.0
Bergeijk,3990.0,6630.0,3720.0
Bergen (L.),2920.0,5090.0,2130.0
Bergen (NH.),4850.0,8910.0,7730.0
Bergen op Zoom,14160.0,21650.0,15580.0
Berkelland,8630.0,16290.0,7900.0
Bernheze,6400.0,10670.0,7020.0
Best,5360.0,9520.0,8550.0
Beuningen,5040.0,8890.0,6240.0
Beverwijk,9580.0,14920.0,7750.0
Bladel,4340.0,7120.0,4160.0
Blaricum,1630.0,3300.0,3700.0
Bloemendaal,2610.0,4390.0,9230.0
Boekel,2460.0,4040.0,1960.0
Borger-Odoorn,5200.0,9760.0,4460.0
Borne,3930.0,7510.0,6260.0
Borsele,4260.0,8630.0,4180.0
Boxtel,7540.0,10460.0,7160.0
Breda,31330.0,53900.0,56350.0
Bronckhorst,7260.0,12910.0,6960.0
Brummen,4440.0,7070.0,4110.0
Brunssum,6990.0,9520.0,4300.0
Bunnik,1940.0,3650.0,5690.0
Bunschoten,5290.0,8110.0,3090.0
Buren,6530.0,9050.0,5500.0
Capelle aan den IJssel,13580.0,22130.0,14780.0
Castricum,4870.0,11470.0,9990.0
Coevorden,7270.0,13470.0,5770.0
Cranendonck,4800.0,6810.0,3940.0
Culemborg,5660.0,8450.0,8010.0
Dalfsen,5450.0,10330.0,5770.0
Dantumadiel,4330.0,7040.0,2550.0
De Bilt,6150.0,9990.0,14760.0
De Ronde Venen,8340.0,14460.0,11020.0
De Wolden,4410.0,8880.0,4880.0
Delft,16170.0,29710.0,39200.0
Den Helder,12680.0,21940.0,7700.0
Deurne,7050.0,11780.0,5780.0
Deventer,19870.0,32060.0,25990.0
Diemen,4920.0,9380.0,11560.0
Dinkelland,5040.0,9460.0,5570.0
Doesburg,2620.0,3810.0,1980.0
Doetinchem,11830.0,20470.0,12310.0
Dongen,5810.0,9360.0,5310.0
Dordrecht,26950.0,39030.0,25620.0
Drechterland,4300.0,6970.0,3830.0
Drimmelen,5920.0,9790.0,5350.0
Dronten,8350.0,16190.0,8360.0
Druten,4240.0,6710.0,3960.0
Duiven,4710.0,9160.0,5320.0
Echt-Susteren,6890.0,10560.0,6780.0
Edam-Volendam,8820.0,11700.0,7120.0
Ede,23710.0,38140.0,27720.0
Eemnes,1380.0,2920.0,2820.0
Eersel,3550.0,6620.0,4670.0
Eindhoven,45890.0,66480.0,77710.0
Elburg,5400.0,7890.0,4110.0
Emmen,26660.0,40340.0,14680.0
Enkhuizen,4240.0,6410.0,3420.0
Enschede,34390.0,54400.0,36260.0
Epe,7070.0,11250.0,5880.0
Ermelo,5490.0,8810.0,5850.0
Etten-Leur,9080.0,14770.0,9120.0
Geertruidenberg,5140.0,7680.0,3770.0
Geldrop-Mierlo,7870.0,12630.0,9510.0
Gemert-Bakel,6770.0,11190.0,5580.0
Gennep,3510.0,6500.0,3310.0
Gilze en Rijen,5230.0,9350.0,5380.0
Goes,7840.0,13280.0,7930.0
Goirle,4340.0,7310.0,6110.0
Gorinchem,8560.0,12050.0,8290.0
Gouda,14940.0,21810.0,19850.0
Groningen,31580.0,76450.0,85580.0
Gulpen-Wittem,2560.0,4550.0,3450.0
Haaksbergen,4520.0,8490.0,4920.0
Haarlem,28080.0,42030.0,53830.0
Haarlemmermeer,30670.0,53070.0,38410.0
Halderberge,6870.0,10890.0,5280.0
Hardenberg,13650.0,23880.0,8930.0
Harderwijk,10940.0,15560.0,9950.0
Hardinxveld-Giessendam,4070.0,6520.0,2730.0
Harlingen,3580.0,5590.0,2680.0
Hattem,2050.0,4020.0,2880.0
Heemskerk,8140.0,13800.0,7180.0
Heemstede,3050.0,5450.0,10320.0
Heerde,3990.0,6410.0,3510.0
Heerenveen,9640.0,17440.0,10930.0
Heerlen,22480.0,28720.0,15080.0
Heeze-Leende,2780.0,5000.0,4500.0
Heiloo,3240.0,6920.0,7250.0
Hellendoorn,6820.0,13430.0,6640.0
Helmond,24030.0,30650.0,17720.0
Hendrik-Ido-Ambacht,5540.0,10790.0,6650.0
Hengelo,15370.0,27990.0,19530.0
Heumen,2340.0,4440.0,5540.0
Heusden,9900.0,15020.0,9630.0
Hillegom,4290.0,7420.0,5020.0
Hilvarenbeek,2650.0,5270.0,3920.0
Hilversum,16550.0,24500.0,28040.0
Hof van Twente,6350.0,12250.0,7230.0
Hoogeveen,14230.0,19790.0,7370.0
Hoorn,15360.0,25250.0,15640.0
Horst aan de Maas,8440.0,15920.0,8670.0
Houten,8000.0,14290.0,16190.0
Huizen,7520.0,12910.0,10000.0
Hulst,5790.0,10120.0,4760.0
IJsselstein,6850.0,10830.0,7640.0
Kaag en Braassem,5870.0,9420.0,6080.0
