housing_characteristics,municipality,year,avg_gas_consumption,avg_electricity_consumption,baseline_gas_consumption,baseline_electricity_consumption
Apartment,Aa en Hunze,2012,1200,2300,1300,2250
Apartment,Aa en Hunze,2013,1150,2050,1300,2250
Apartment,Aa en Hunze,2014,900,2000,1300,2250
Apartment,Aa en Hunze,2015,1050,2050,1300,2250
Apartment,Aa en Hunze,2016,1020,1960,1300,2250
Apartment,Aa en Hunze,2017,980,1940,1300,2250
Apartment,Aa en Hunze,2018,1000,1940,1300,2250
Apartment,Aa en Hunze,2019,910,1860,1300,2250
Apartment,Aa en Hunze,2020,900,1870,1300,2250
Apartment,Aa en Hunze,2021,1010,1910,1300,2250
Apartment,Aalsmeer,2012,900,2300,975,2275
Apartment,Aalsmeer,2013,900,2200,975,2275
Apartment,Aalsmeer,2014,700,2150,975,2275
Apartment,Aalsmeer,2015,780,2120,975,2275
Apartment,Aalsmeer,2016,790,2080,975,2275
Apartment,Aalsmeer,2017,760,2020,975,2275
Apartment,Aalsmeer,2018,760,1970,975,2275
Apartment,Aalsmeer,2019,730,1960,975,2275
Apartment,Aalsmeer,2020,720,1980,975,2275
Apartment,Aalsmeer,2021,790,2000,975,2275
Apartment,Aalten,2012,950,2100,1025,2100
Apartment,Aalten,2013,950,2050,1025,2100
Apartment,Aalten,2014,750,2000,1025,2100
Apartment,Aalten,2015,950,2240,1025,2100
Apartment,Aalten,2016,800,1950,1025,2100
Apartment,Aalten,2017,790,1900,1025,2100
Apartment,Aalten,2018,770,1840,1025,2100
Apartment,Aalten,2019,810,1870,1025,2100
Apartment,Aalten,2020,870,2120,1025,2100
Apartment,Aalten,2021,980,2250,1025,2100
Apartment,Achtkarspelen,2012,1200,2100,1225,2050
Apartment,Achtkarspelen,2013,1100,1700,1225,2050
Apartment,Achtkarspelen,2014,800,1700,1225,2050
Apartment,Achtkarspelen,2015,960,1730,1225,2050
Apartment,Achtkarspelen,2016,1000,1610,1225,2050
Apartment,Achtkarspelen,2017,960,1630,1225,2050
Apartment,Achtkarspelen,2018,950,1580,1225,2050
Apartment,Achtkarspelen,2019,880,1600,1225,2050
Apartment,Achtkarspelen,2020,860,1720,1225,2050
Apartment,Achtkarspelen,2021,990,1830,1225,2050
Apartment,Alblasserdam,2012,1000,2100,1100,2150
Apartment,Alblasserdam,2013,800,2100,1100,2150
Apartment,Alblasserdam,2014,750,2150,1100,2150
Apartment,Alblasserdam,2015,800,2100,1100,2150
Apartment,Alblasserdam,2016,800,2070,1100,2150
Apartment,Alblasserdam,2017,760,2020,1100,2150
Apartment,Alblasserdam,2018,730,1990,1100,2150
Apartment,Alblasserdam,2019,740,1940,1100,2150
Apartment,Alblasserdam,2020,700,1930,1100,2150
Apartment,Alblasserdam,2021,730,1990,1100,2150
Apartment,Albrandswaard,2012,850,2450,925,2450
Apartment,Albrandswaard,2013,900,2250,925,2450
Apartment,Albrandswaard,2014,650,2150,925,2450
Apartment,Albrandswaard,2015,730,2170,925,2450
Apartment,Albrandswaard,2016,740,2080,925,2450
Apartment,Albrandswaard,2017,710,2040,925,2450
Apartment,Albrandswaard,2018,710,2000,925,2450
Apartment,Albrandswaard,2019,670,1950,925,2450
Apartment,Albrandswaard,2020,650,2020,925,2450
Apartment,Albrandswaard,2021,740,2030,925,2450
Apartment,Alkmaar,2012,1000,2100,1075,2150
Apartment,Alkmaar,2013,1050,2050,1075,2150
Apartment,Alkmaar,2014,800,2000,1075,2150
Apartment,Alkmaar,2015,840,2010,1075,2150
Apartment,Alkmaar,2016,880,1960,1075,2150
Apartment,Alkmaar,2017,840,1950,1075,2150
Apartment,Alkmaar,2018,840,1910,1075,2150
Apartment,Alkmaar,2019,740,1860,1075,2150
Apartment,Alkmaar,2020,710,1890,1075,2150
Apartment,Alkmaar,2021,800,1910,1075,2150
Apartment,Almelo,2012,1150,2200,1250,2250
Apartment,Almelo,2013,1250,2050,1250,2250
Apartment,Almelo,2014,800,2000,1250,2250
Apartment,Almelo,2015,880,1960,1250,2250
Apartment,Almelo,2016,880,1930,1250,2250
Apartment,Almelo,2017,890,1920,1250,2250
Apartment,Almelo,2018,880,1830,1250,2250
Apartment,Almelo,2019,780,1740,1250,2250
Apartment,Almelo,2020,760,1790,1250,2250
Apartment,Almelo,2021,930,1840,1250,2250
Apartment,Almere,2012,300,2350,350,2350
Apartment,Almere,2013,350,2300,350,2350
Apartment,Almere,2014,250,2250,350,2350
Apartment,Almere,2015,290,2200,350,2350
