municipality,year,num_households,median_income
Aa en Hunze,2012,11.1,24.3
Aa en Hunze,2013,11.1,24.5
Aa en Hunze,2014,10.9,25.6
Aa en Hunze,2015,10.8,26.1
Aa en Hunze,2016,10.9,27.2
Aa en Hunze,2017,11.0,27.7
Aa en Hunze,2018,11.0,28.0
Aa en Hunze,2019,11.1,29.4
Aa en Hunze,2020,11.1,30.8
Aa en Hunze,2021,11.2,32.4
Aalsmeer,2012,12.3,26.4
Aalsmeer,2013,12.3,26.7
Aalsmeer,2014,12.4,27.3
Aalsmeer,2015,12.6,27.8
Aalsmeer,2016,12.7,28.9
Aalsmeer,2017,12.9,29.5
Aalsmeer,2018,12.9,30.1
Aalsmeer,2019,13.0,31.6
Aalsmeer,2020,13.1,32.7
Aalsmeer,2021,13.2,34.0
Aalten,2012,11.1,22.7
Aalten,2013,11.2,22.9
Aalten,2014,11.2,23.6
Aalten,2015,11.1,24.1
Aalten,2016,11.2,25.1
Aalten,2017,11.3,25.8
Aalten,2018,11.3,26.3
Aalten,2019,11.4,27.4
Aalten,2020,11.5,28.6
Aalten,2021,11.5,30.0
Achtkarspelen,2012,11.4,21.0
Achtkarspelen,2013,11.5,21.1
Achtkarspelen,2014,11.5,21.6
Achtkarspelen,2015,11.6,22.0
Achtkarspelen,2016,11.6,23.0
Achtkarspelen,2017,11.6,23.6
Achtkarspelen,2018,11.6,24.0
Achtkarspelen,2019,11.7,25.3
Achtkarspelen,2020,11.7,26.3
Achtkarspelen,2021,11.8,27.4
Alblasserdam,2012,7.8,23.3
Alblasserdam,2013,7.9,23.5
Alblasserdam,2014,8.0,24.3
Alblasserdam,2015,8.0,24.6
Alblasserdam,2016,8.0,25.4
Alblasserdam,2017,8.1,25.9
Alblasserdam,2018,8.1,26.4
Alblasserdam,2019,8.1,27.7
Alblasserdam,2020,8.2,28.9
Alblasserdam,2021,8.2,30.2
Albrandswaard,2012,9.8,28.1
Albrandswaard,2013,9.9,28.3
Albrandswaard,2014,9.9,29.0
Albrandswaard,2015,10.0,29.4
